DATAFLOW,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS,DOI,FULL_DESCRIPTION,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1990,25.585462419191,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1991,25.51679540607992,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1992,25.40012815079412,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1993,25.31961107789615,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1994,25.14995188858448,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1995,24.91517570407256,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1996,25.34268286096648,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1997,31.3643344542954,0,,,,,,R,OL,true,T,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1998,41.3593875,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
IMF.STA:ER(4.0.1),THA,XDC_USD,PA_RT,A,1999,37.81365583333332,0,,,,,,R,OL,true,,,"This dataset contains historical exchange rate data between the US Dollar, Special Drawing Rights (SDR), Euro, and various national currencies. It includes both period average and end-of-period exchange rates.",IMF,STA,help@data.imf.org,,"F31_ER,IFS",,,EN,2026-05-24T05:25:24.875047Z,2026-05-24T05:25:24.920896600Z,,,PUBLIC_OPEN,,PUB,,,,,,,
