DATAFLOW,COUNTRY,INDICATOR,UNIT,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,RA_TYPE,IL_ACCT,SECTOR,MFS_COLTN,COUNTERPARTY_SECTOR,VALUATION,TRANSFORMATION,DERIVATION_TYPE,IFS_FLAG,STATUS,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1990-Q1,11971720241.40802,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1990-Q2,12754335558.22919,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1990-Q3,13649322859.35107,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1990-Q4,14258318641.9314,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1991-Q1,15114588067.15134,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1991-Q2,16498450037.60023,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1991-Q3,17903605201.09439,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1991-Q4,18392698554.72686,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1992-Q1,18836765249.38272,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
IMF.STA:IL(13.0.1),THA,TRGMV_REVS,USD,Q,1992-Q2,20564907409.34667,6,,,,,,,,,,O,true,,,"International liquidity consists of all the resources that are available to the monetary authorities of countries for the purpose of meeting balance of payments financing needs. Such liquidity ranges from assets readily available to resources that become available only after extensive negotiation. It may take many forms: reserves of gold and foreign exchange; other assets that can be mobilized in case of need; facilities to draw on the International Monetary Fund or to borrow from other international institutions; various arrangements with foreign central banks or governments to borrow. It also includes, conceptually, such elements, not readily subject to statistical measurement, as a countryâs capacity to borrow in the money markets of other countries and, for a reserve center, the willingness of other countries to accumulate further holdings of its currency.",,IMF,STA,datahelp@imf.org,,"F00,IFS,E52_IR",,"reserves,gold",EN,2026-05-25T08:54:28.348853400Z,2026-05-25T08:54:28.413027600Z,IRFCL13,,PUBLIC_OPEN,,PUB,,,,Â© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. International Liquidity (IL), https://data.imf.org/en/datasets//IMF.STA:IL.  Accessed on [current date].",,
